Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 308: Reward=-79.3, Steps=300, Eps=0.214, Streak=0, Success=False
Episode 309: Reward=-103.0, Steps=61, Eps=0.212, Streak=0, Success=False
Episode 310: Reward=-70.7, Steps=300, Eps=0.211, Streak=0, Success=False
Episode 311: Reward=-66.9, Steps=300, Eps=0.210, Streak=0, Success=False
Episode 312: Reward=-96.4, Steps=300, Eps=0.209, Streak=0, Success=False
Episode 313: Reward=-110.6, Steps=194, Eps=0.208, Streak=0, Success=False
Episode 314: Reward=-101.1, Steps=23, Eps=0.207, Streak=0, Success=False
Episode 315: Reward=-79.3, Steps=300, Eps=0.206, Streak=0, Success=False
Episode 316: Reward=-94.4, Steps=300, Eps=0.205, Streak=0, Success=False
Episode 317: Reward=-65.0, Steps=300, Eps=0.204, Streak=0, Success=False
Episode 318: Reward=-66.0, Steps=300, Eps=0.203, Streak=0, Success=False
Episode 319: Reward=-108.7, Steps=300, Eps=0.202, Streak=0, Success=False
Episode 320: Reward=-101.0, Steps=20, Eps=0.201, Streak=0, Success=False
Episode 321: Reward=-72.6, Steps=300, Eps=0.200, Streak=0, Success=False
Episode 322: Reward=-93.5, Steps=300, Eps=0.199, Streak=0, Success=False
Episode 323: Reward=-106.1, Steps=124, Eps=0.198, Streak=0, Success=False
Episode 324: Reward=-95.4, Steps=300, Eps=0.197, Streak=0, Success=False
Episode 325: Reward=-100.1, Steps=300, Eps=0.196, Streak=0, Success=False
Episode 326: Reward=-100.4, Steps=9, Eps=0.195, Streak=0, Success=False
Episode 327: Reward=-101.3, Steps=27, Eps=0.194, Streak=0, Success=False
Episode 328: Reward=-103.0, Steps=300, Eps=0.193, Streak=0, Success=False
Episode 329: Reward=-80.2, Steps=300, Eps=0.192, Streak=0, Success=False
Episode 330: Reward=-73.6, Steps=300, Eps=0.191, Streak=0, Success=False
Episode 331: Reward=-68.8, Steps=300, Eps=0.190, Streak=0, Success=False
Episode 332: Reward=-101.0, Steps=21, Eps=0.189, Streak=0, Success=False
Episode 333: Reward=-101.8, Steps=37, Eps=0.188, Streak=0, Success=False
Episode 334: Reward=-67.9, Steps=300, Eps=0.187, Streak=0, Success=False
Episode 335: Reward=-103.9, Steps=79, Eps=0.187, Streak=0, Success=False
Episode 336: Reward=-100.4, Steps=9, Eps=0.186, Streak=0, Success=False
Episode 337: Reward=-101.6, Steps=33, Eps=0.185, Streak=0, Success=False
Episode 338: Reward=-100.5, Steps=11, Eps=0.184, Streak=0, Success=False
Episode 339: Reward=-100.3, Steps=7, Eps=0.183, Streak=0, Success=False
Episode 340: Reward=-100.5, Steps=10, Eps=0.182, Streak=0, Success=False
Episode 341: Reward=-92.5, Steps=300, Eps=0.181, Streak=0, Success=False
Episode 342: Reward=-174.2, Steps=300, Eps=0.180, Streak=0, Success=False
Episode 343: Reward=-100.5, Steps=10, Eps=0.179, Streak=0, Success=False
Episode 344: Reward=-100.3, Steps=8, Eps=0.178, Streak=0, Success=False
Episode 345: Reward=-101.1, Steps=23, Eps=0.177, Streak=0, Success=False
Episode 346: Reward=-102.3, Steps=47, Eps=0.177, Streak=0, Success=False
Episode 347: Reward=-101.2, Steps=25, Eps=0.176, Streak=0, Success=False
